year,store,total_quantity,total_revenue,year_quantity,year_revenue,store_quantity_share,store_revenue_share
2024,spotify,9997238846.0,7172740.063587694,471211148163.0,70693153.22995332,0.02121604907900393,0.10146300929958434
2022,spotify_discovery,396803326.0,-126128.03893499999,110010626804.0,57969233.77089732,0.003606954505467577,-0.0021757755059084614
2023,spotify_discovery,3589264607.0,-969975.7750195008,169190868055.0,71693636.30697158,0.02121429275859743,-0.013529454286100692
2024,spotify_discovery,6071455790.0,-1495197.9863140022,471211148163.0,70693153.22995332,0.012884788090581804,-0.021150534641599116
2024,spotify_free,19501676903.0,3913164.5074899048,471211148163.0,70693153.22995332,0.04138628081917543,0.05535422213748222
2024,spotify_premium,28093961111.0,29011867.56186737,471211148163.0,70693153.22995332,0.05962074798213776,0.410391476915685
2022,tiktok,741911400.0,541695.0871175142,110010626804.0,57969233.77089732,0.006743997571451197,0.009344527292845899
2023,tiktok,1044380170.0,1745617.324139006,169190868055.0,71693636.30697158,0.006172792787259041,0.02434828827296154
2024,tiktok,1315925618.0,2062314.8267714842,471211148163.0,70693153.22995332,0.0027926453419663128,0.029172766138512874
2022,tiktok_mini_player,128170789.0,142329.87452949994,110010626804.0,57969233.77089732,0.0011650764360097228,0.0024552657551419068
2023,tiktok_mini_player,240761810.0,281375.46296800027,169190868055.0,71693636.30697158,0.0014230189416708588,0.0039246923082996
2022,youtube,57416437665.0,10297066.876797045,110010626804.0,57969233.77089732,0.5219171941206714,0.17762985996144992
2023,youtube,93220596014.0,11235878.149374135,169190868055.0,71693636.30697158,0.5509788860690529,0.15672071787885508
2024,youtube,82874107113.0,11429497.38981258,471211148163.0,70693153.22995332,0.1758746740947912,0.16167757226268129
2022,youtube_adjustment,812688664.0,96980.636342,110010626804.0,57969233.77089732,0.0073873650901737295,0.001672967366194304
2023,youtube_adjustment,2627920474.0,339125.372546,169190868055.0,71693636.30697158,0.015532283179407321,0.0047302018702742666
2024,youtube_adjustment,740050472.0,92953.53183700002,471211148163.0,70693153.22995332,0.0015705283605556885,0.0013148873347697098
2022,youtube_red,5043496543.0,7730104.110959948,110010626804.0,57969233.77089732,0.0458455395585167,0.1333483920368936
2023,youtube_red,6677133934.0,10698580.457861526,169190868055.0,71693636.30697158,0.03946509649580744,0.1492263610685511
2024,youtube_red,3753659186.0,11731490.935176568,471211148163.0,70693153.22995332,0.007965981281710987,0.16594946468176258
2022,youtube_red_adjustment,11577189.0,18157.007453000002,110010626804.0,57969233.77089732,0.00010523700606330017,0.0003132179998231318
2023,youtube_red_adjustment,51924342.0,86099.61916,169190868055.0,71693636.30697158,0.0003068980175875722,0.0012009380970906
2024,youtube_red_adjustment,12349591.0,16683.9156065,471211148163.0,70693153.22995332,2.6208189360851168e-05,0.00023600468849125936
2022,youtube_shorts_flat_fee,6842002.0,779282.8170365007,110010626804.0,57969233.77089732,6.21940097858912e-05,0.013443041529862849
